audio_file,output,flag,username,timestamp
"{""path"":""flagged\\audio_file\\beeb9f5912c30f03ba78\\audio.wav"",""url"":""http://127.0.0.1:7863/file=C:\\Users\\ACER\\AppData\\Local\\Temp\\gradio\\3d38a8bc6b2d20b64b707571f6d453852041cfce\\audio.wav"",""size"":481614,""orig_name"":""audio.wav"",""mime_type"":""""}",,,,2024-05-07 23:28:07.605470
"{""path"":""flagged\\audio\\2199db5700b1fb561652\\audio.wav"",""url"":""http://127.0.0.1:7877/file=C:\\Users\\ACER\\AppData\\Local\\Temp\\gradio\\49e6af532540d802c9d12485cc32c3a84cd673b3\\audio.wav"",""size"":576872,""orig_name"":""audio.wav"",""mime_type"":""""}",,,,2024-05-08 00:58:48.066524
"{""path"":""flagged\\audio\\f48d5ad536428625ffdf\\audio.wav"",""url"":""http://127.0.0.1:7881/file=C:\\Users\\ACER\\AppData\\Local\\Temp\\gradio\\28c34aa27ac98cecd2f543d5d292d85e89deb691\\audio.wav"",""size"":460446,""orig_name"":""audio.wav"",""mime_type"":""""}","(44100, array([0, 0, 0, ..., 0, 0, 0], dtype=int16))",,,2024-05-08 01:11:38.057416
